scientificName,flower_len_cm,corolla_base_cm,corolla_apex_cm,degree_curvature,stamen_ex_cm,anther_width_cm,anther_len_cm,leaf_area_cm2 ,leaf_len_cm ,leaf_width_cm 
C_urubambae,3.437,0.543,1.06,132.396,2.693,0.361,0.904,20.547,8.601,3.201
C_urubambae,2.989,0.551,1.157,142.775,1.601,0.321,0.768,22.166,9.431,3.615
C_urubambae,3.309,0.52,1.198,132.606,2.32,0.325,0.696,49.986,13.82,5.278
C_urubambae,2.943,0.512,1.125,139.543,2.106,0.378,0.691,N/A,N/A,N/A
C_urubambae,2.868,0.487,1.262,142.891,2.302,0.308,0.811,38.029,10.347,5.557
C_urubambae,2.538,0.418,1.024,152.458,2.423,0.247,0.784,33.196,10.02,4.743
C_urubambae,2.368,0.349,0.993,130.273,1.903,0.31,0.741,66.6,15.197,6.176
C_urubambae,2.604,0.465,1.03,128.219,2.067,0.29,0.715,57.144,14.111,6.051
C_urubambae,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.785,9.846,5.267
C_urubambae,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.117,10.189,5.082
C_urubambae,2.474,0.503,0.971,147.416,1.326,0.227,0.663,50.51,11.801,6.196
C_urubambae,2.513,0.528,0.733,141.401,1.325,0.26,0.645,37.076,10.299,5.197
C_urubambae,3.044,0.515,1.138,136.051,2.018,0.317,0.925,22.531,8.219,4.173
C_urubambae,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.07,18.434,7.047
C_urubambae,3.481,0.492,1.204,132.561,2.166,0.353,0.774,N/A,N/A,N/A
C_urubambae,3.14,0.574,1.403,140.045,2.192,0.289,0.765,11.157,6.407,2.561
C_urubambae,3.468,0.715,1.183,126.566,2.272,0.325,0.75,39.165,12.001,4.829
C_vargasii,2.701,0.563,1.041,151.826,1.596,0.27`,0.674,27.901,10.069,4.029
C_vernicosus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.934,14.792,7.269
C_undulatus,2.519,0.379,1.157,137.862,1.014,0.476,0.583,59.506,15.493,6.192
C_undulatus,2.538,0.311,1.028,137.001,1.15,0.341,0.627,N/A,N/A,N/A
C_trianae,5.332,0.585,1.282,154.841,2.01,0.366,0.984,19.376,7.5,3.715
C_trianae,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.51,13.334,3.592
C_trianae,4.55,0.57,1.356,156.436,1.526,0.286,0.822,16.689,7.241,3.507
C_quebradanus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.096,18.847,5.846
C_quebradanus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.182,16.988,5.724
C_quebradanus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127.076,18.634,9.963
C_roseus,2.958,0.4,0.974,123.405,1.323,0.344,0.696,30.314,17.843,1.983
C_roseus,2.864,0.435,0.861,143.234,1.139,0.334,0.667,15.857,13.604,1.751
C_roseus,3.035,0.47,0.98,143.443,1.468,0.341,0.654,10.922,11.19,1.43
C_roseus,3.066,0.315,0.884,144.305,1.437,0.338,0.708,13.965,10.449,2.078
C_roseus,2.911,0.416,1.131,140.301,1.508,0.351,0.64,8.975,11.555,1.288
C_scabellus,5.097,0.565,1.187,172.392,1.583,0.299,0.979,29.521,10.921,4.398
C_sciaphilus,3.339,0.541,0.929,145.752,N/A,N/A,N/A,119.934,23.499,8.053
C_sciaphilus,2.397,0.42,1.318,138.302,1.182,0.311,0.682,N/A,N/A,N/A
C_sciaphilus,3.49,0.348,1.054,131.386,1.337,0.315,0.771,125.311,19.383,8.492
C_sciaphilus,3.054,0.347,0.797,135.187,1.117,0.335,0.684,83.197,19.644,7.035
C_sciaphilus,3.361,0.525,0.907,152.635,1.083,0.344,0.725,64.351,17.356,6.029
C_sciaphilus,3.47,0.554,1.203,128.628,1.425,0.344,0.726,148.579,23.408,8.802
C_semperflorens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102.971,20.801,7.953
C_semperflorens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.137,19.496,6.853
C_semperflorens,3.837,0.595,1.08,153.807,1.413,0.307,0.804,63.764,12.856,6.969
C_semperflorens,4.181,0.749,1.217,154.195,1.59,0.241,0.812,46.853,12.047,5.347
C_silvaticus,3.183,0.333,0.937,152.063,1.624,0.347,0.727,7.309,10.417,0.991
C_silvaticus,3.116,0.296,0.853,129.34,1.379,0.264,0.656,7.082,10.594,0.962
C_silvaticus,3.074,0.466,0.912,132.822,1.214,0.324,0.696,20.556,15.974,1.722
C_silvaticus,2.994,0.364,0.965,140.086,0.85,0.295,0.552,14.305,12.397,1.713
C_silvaticus,2.771,0.401,0.921,149.814,1.296,0.252,0.603,18.27,14.216,2.014
C_silvaticus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.398,15.076,1.872
C_silvaticus,2.598,0.419,0.694,139.279,1.04,0.324,0.751,11.422,12.855,1.253
C_silvaticus,3.231,0.317,0.834,132.58,1.348,0.242,0.679,10.238,11.795,1.318
C_trachyanthus,2.057,0.44,0.911,148.36,1.261,0.33,0.906,91.999,15.951,8.109
