Specimen_Filename,scientificName (C_*),flower_len_cm,corolla_base_cm,corolla_apex_cm,degree_curvature,stamen_ex_cm,anther_width_cm,anther_len_cm,leaf_area_cm2 ,leaf_len_cm ,leaf_width_cm 
C_gamosepalus_MO-1190577,C_gamosepalus,3.275,0.411,1.255,155.509,1.404,0.263,0.632,148.133,22.046,10.34
C_gamosepalus_MO-1292133,C_gamosepalus,3.3065,0.357,1.325,132.1765,1.0915,0.28,0.636,105.277,18.776,7.8275
C_gamosepalus_MO-1292137,C_gamosepalus,3.473,0.428,1.055,134.556,1.194,0.26,0.551,81.7465,15.4235,8.7765
C_gamosepalus_MO-1292138,C_gamosepalus,2.687,0.373,0.902,136.475,1.124,0.335,0.675,40.665,11.561,5.405
C_gamosepalus_MO-1292140,C_gamosepalus,3.67,0.491,1.12,127.936,1.206,0.282,0.556,133.271,24.499,9.108
C_gamosepalus_MO-1292141,C_gamosepalus,3.23,0.417,1.118,136.2965,1.168,0.326,0.677,53.985,19.563,4.68
C_gamosepalus_MO-1292142,C_gamosepalus,3.2305,0.3715,0.925,135.34,1.246,0.2665,0.5545,82.184,18.77,7.407
C_gamosepalus_MO-1292144,C_gamosepalus,3.193,0.414,0.975,128.139,1.389,0.324,0.622,105.591,23.185,7.883
C_gamosepalus_MO-1292146,C_gamosepalus,2.8805,0.336,0.994,139.6165,1.072,0.2975,0.541,145.122,26.211,8.889
C_gamosepalus_MO-1292148,C_gamosepalus,3.144,0.405,1.29,142.067,1.094,0.232,0.577,180.948,27.128,10.98
C_gamosepalus_MO-1292153,C_gamosepalus,2.7905,0.361,0.8365,123.172,1.287,0.284,0.632,116.862,20.76,9.572
C_gamosepalus_MO-1292157,C_gamosepalus,3.392,0.4575,1.467,131.123,1.1575,0.311,0.6575,141.2295,23.3355,9.5375
C_gamosepalus_MO-1292158,C_gamosepalus,3.746,0.505,1.061,138.346,1.159,0.269,0.613,95.609,17.915,8.082
C_gamosepalus_MO-1292162,C_gamosepalus,3.8505,0.4575,1.301,148.4195,1.166,0.3145,0.694,33.797,10.26,5.337
C_gamosepalus_MO-1292163,C_gamosepalus,3.183,0.3845,1.211,140.3205,0.965,0.333,0.6375,73.076,17.505,6.9235
C_gamosepalus_MO-1292167,C_gamosepalus,3.155,0.286,0.965,169.831,1.695,0.252,0.636,80.755,15.329,7.831
C_gamosepalus_MO-1292169,C_gamosepalus,3.843,0.444,0.836,172.553,1.526,0.22,0.677,54.799,12.786,6.488
C_gamosepalus_MO-1292170,C_gamosepalus,3.479,0.312,1.24,128.2045,1.024,0.278,0.587,97.5835,20.268,7.755
C_gamosepalus_MO-1292171,C_gamosepalus,3.0065,0.3865,1.6055,139.8555,1.007,0.2705,0.6655,157.886,26.076,9.426
C_gamosepalus_MO-1292173,C_gamosepalus,3.291,0.413,1.381,121.788,1.146,0.243,0.63,117.053,16.994,9.433
C_gamosepalus_MO-2021821,C_gamosepalus,3.043,0.264,1.162,129.077,1.152,0.3,0.653,134.906,23.184,9.637
C_gamosepalus_MO-2021870,C_gamosepalus,2.606,0.41,0.93,127.987,0.961,0.311,0.787,117.836,23.531,8.542
